X (m),Y (m),Yaw (rad),Distance (m)
1.6619551668476968,-0.04680097641665962,1.260428952665057,0
1.6619551668476968,-0.04680097641665962,1.260428952665057,0
1.6641059491109285,-0.04680220125896947,1.2615374298138438,0
1.6584133781553079,-0.04650464307818078,1.2517762360633486,0
1.662655454324732,-0.04675665107302425,1.2590860558114059,0
1.6655463241692883,-0.04683572018413826,1.2636102970826213,0
1.6657864279141863,-0.04684267608592238,1.2633560633887124,0
1.6652525430849452,-0.04698777505764991,1.2651855582939462,0
1.667099827824555,-0.04715345012088786,1.2639951202106061,0
1.6650995553180685,-0.04709814052020557,1.2615789108130233,0
1.6654892564434438,-0.047143257287449766,1.263327229552358,0
1.658407006822813,-0.04683133685741693,1.2529604370038125,0
1.6634729519164682,-0.04713365667680899,1.262138292438497,0
1.6575379296883805,-0.04681094152787253,1.252253772884515,0
1.6628921692120489,-0.047037914662983224,1.2579972799351458,0
1.665622505721757,-0.04714563400584487,1.2640876828677592,0
1.664911710522584,-0.047098556862753695,1.2621154910860894,0
1.6652545304225765,-0.046781486540933906,1.2611874184706833,0
1.665686937087325,-0.04681391320460007,1.262565464229111,0
1.6651051719268062,-0.047152784323311936,1.2617052290306883,0
1.6578531377685963,-0.04709017830867102,1.2513988208211113,0
1.6639647044837884,-0.04738674819073218,1.2609412130737834,0
1.6640568842576466,-0.04736066118094916,1.2591011123965503,0
1.657232618700657,-0.047109182026468285,1.252362969838773,0
1.658020440243187,-0.04737657115408691,1.250859865754738,0
1.664885191389161,-0.047707968968393785,1.2620262086878582,0
1.6642025229653372,-0.04764108735036259,1.25917889578587,0
1.665967036167353,-0.047719378990504754,1.2626608758834714,0
1.6649072002516079,-0.04768931173124802,1.2624839498184204,0
1.6642308501020793,-0.04761540946148523,1.259531430225477,0
1.6655292373947332,-0.047611898544735916,1.258739331344748,0
1.6644150960083568,-0.047897010013082164,1.2595466626212974,0
1.6633031878486966,-0.04767472108963801,1.2573705057096918,0
1.656195120293473,-0.0471377878530104,1.24245157063656,0
1.661172575170781,-0.0472080696111515,1.242094816973789,0
1.6603645693647064,-0.04770770189762878,1.2375793584419998,0
1.6525505888737089,-0.04778429393581256,1.2263315621302648,0
1.657418675200404,-0.04830895658122549,1.2347417442789517,0
1.6592058352798427,-0.048845866093515315,1.23873086082432,0
1.6607574745766167,-0.04896660914303989,1.243785155660204,0
1.6664405885920368,-0.048569768718316454,1.2892185037047628,0
1.6587863894582282,-0.04875585529072737,1.2399432486265278,0
1.6594370790558022,-0.048719148875873385,1.2384733539839645,0
1.6506160663890435,-0.04835159234841608,1.2237041710343848,0
1.6479201418523126,-0.047821352138231715,1.2162971622288403,0
1.6493560846573232,-0.04731537222626758,1.2528845507040904,0
1.6530753320058942,-0.04810706961248994,1.221975969668486,0
1.6532635675588099,-0.04842029375261295,1.2235716765867326,0
1.6538312018260108,-0.048417530531166264,1.2252922054111401,0
1.6507646387311845,-0.04823837357207052,1.2198172707901223,0
1.6583091863102217,-0.04768401840057404,1.305116919103156,0
1.649462757262388,-0.0482848881245292,1.2196537564340189,0
1.653913317582875,-0.048094032158091854,1.2583068743892425,0
1.6532355890494,-0.04803537705242794,1.2556342663207856,0
1.647680003236819,-0.04836920005143734,1.214824909739366,0
1.6532344151685125,-0.04786506508018889,1.2541359194504333,0
1.6550582452626457,-0.04733677756622605,1.2931139641130354,0
1.6532122595249539,-0.04668099055790894,1.281058232417366,0
1.6522641224175783,-0.046581496246553826,1.2742347643014889,0
1.6461626884234344,-0.04741359677164702,1.228573160010611,0
1.6257239645129906,-0.05755523738966533,1.1076855957844196,1.5999999999999999
1.6645830961612695,-0.05569351899479174,1.255644798277579,1.5999999999999999
1.6745700980899023,-0.06166334855224162,1.2748081097521338,1.5999999999999999
1.6750659447620422,-0.0556018936000016,1.2601686129967793,1.5999999999999999
1.6634641887191908,-0.05823316344300167,1.2333414782674674,1.5999999999999999
1.6341274907977559,-0.06255609623243338,1.1263822431963333,1.5999999999999999
1.6749292604068413,-0.05898750132973357,1.275938084652401,1.5999999999999999
1.6559907940641134,-0.055987202009028944,1.2240683199014186,1.5999999999999999
1.6833419055269636,-0.058610156340518596,1.3019226562736705,1.5999999999999999
1.6801865581015498,-0.05769463416798302,1.2968460463148521,1.5999999999999999
1.6661195343312742,-0.057302958383702904,1.254435996576689,1.5999999999999999
1.640803891779488,-0.056757260391032766,1.220848383465178,1.5999999999999999
1.633142259245201,-0.05674878135882498,1.1421080579255822,1.5999999999999999
1.6750564447915788,-0.055682252093259776,1.2882864477294111,1.5999999999999999
1.6845148069074483,-0.05714220101528956,1.321452651033138,1.5999999999999999
